"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
-2.18074612901353,3.45653148175733,-19.9980327287632,4.54240044493415e-67,4.39068427007335e-63,141.903206468793,"ENSG00000163075"
-2.31773970071645,7.18180571211703,-18.9844121061132,5.20882180226695e-62,2.01393886162849e-58,130.348229559474,"ENSG00000182795"
-2.7844745895501,4.98591449640582,-18.8174821942316,3.51005898305705e-61,1.13094100434098e-57,128.455861175441,"ENSG00000127249"
-1.61913307496879,3.85836443240231,-18.6473420046463,2.44284192833221e-60,6.74643145121691e-57,126.531497823441,"ENSG00000151623"
-2.04761473321432,7.28473795209384,-18.271618847043,1.75341197447018e-58,2.82474669087146e-55,122.292647475147,"ENSG00000069122"
-1.57682145876802,6.17623597788258,-16.7805225052319,3.25114189616677e-51,1.5712768784174e-48,105.693935239512,"ENSG00000115525"
-1.92504129521391,6.29875263799311,-16.6656253333805,1.1605296700499e-50,5.09894535941016e-48,104.431992565352,"ENSG00000184012"
-2.35008505028852,3.32957751542827,-16.1323538001254,4.1051522037518e-48,1.25969527623698e-45,98.6122588451491,"ENSG00000080293"
-2.94783522358833,6.32086616690818,-15.9401012899489,3.35156067433583e-47,9.96805707019389e-45,96.5301005560943,"ENSG00000153446"
-2.03362604452283,3.6428400294582,-15.9004150805557,5.16430945648697e-47,1.44690478859139e-44,96.1013922583153,"ENSG00000108924"
-2.56182579999968,6.04979014254605,-15.6068566675868,1.24921362424947e-45,3.21997303786542e-43,92.9424064404243,"ENSG00000099994"
-2.30151097732878,2.75707952183701,-15.4958516447269,4.14330190382296e-45,1.02690144108597e-42,91.7536232485107,"ENSG00000149435"
-1.53738313134431,4.31236683891048,-15.3391981168715,2.23760211368982e-44,4.86037349009569e-42,90.0815298907584,"ENSG00000163406"
-2.87670623014055,8.46869358236546,-15.2602355705193,5.2225676203114e-44,1.08562018533183e-41,89.2412132423144,"ENSG00000131400"
-1.04439706898041,5.90651110016675,-14.6069477956631,5.40934640203607e-41,8.71445705368011e-39,82.3586601488756,"ENSG00000152642"
-2.69532774384794,5.00246463897674,-14.6000666512889,5.82469757078834e-41,9.30603747425456e-39,82.2853512974765,"ENSG00000142973"
-2.08116381026592,7.50696071628582,-14.512157268626,1.46828860082683e-40,2.23503584497514e-38,81.3689406058186,"ENSG00000171476"
-1.99133086620228,3.38248922449372,-14.4882884226748,1.88649339302201e-40,2.78394582243523e-38,81.1205371478831,"ENSG00000225383"
-1.53275974339264,8.52457690453115,-14.4518198181904,2.76570031259992e-40,3.99003868978968e-38,80.7413546846611,"ENSG00000103811"
-1.38291657743242,3.45064469428844,-14.3934161935595,5.09929551131138e-40,7.24849859004939e-38,80.1349819992488,"ENSG00000114812"
-1.94413156226772,5.4188789345325,-14.3476019064158,8.23399361617101e-40,1.15347510570883e-37,79.6600810236659,"ENSG00000173376"
-1.29816196048173,5.94169060841375,-14.3429354397817,8.64550660330646e-40,1.20240959464115e-37,79.6117473380809,"ENSG00000008441"
-1.46750982637469,3.35520580867651,-14.3369771557748,9.20087621219566e-40,1.27050956381548e-37,79.5500436600531,"ENSG00000135063"
-2.11608471300124,4.5762856660068,-14.3183641748185,1.11754006229921e-39,1.53221875775662e-37,79.3573625216533,"ENSG00000174514"
-1.50715460202189,3.8548483426593,-14.3121372567099,1.19261260933768e-39,1.62363288476873e-37,79.2929266550215,"ENSG00000158220"
-2.18337956632462,5.6033352651206,-14.2493717267642,2.29513730145336e-39,3.01833974909499e-37,78.6441362369211,"ENSG00000047936"
-1.04996350731815,3.00096452827217,-14.1963384628735,3.97238146383554e-39,5.05224200387293e-37,78.1004381906204,"ENSG00000176533"
-1.221136992988,1.84263214485423,-14.0258598625959,2.33183871056562e-38,2.87128063392704e-36,76.3465440274893,"ENSG00000163145"
-1.61086044435702,3.64500144097216,-13.95924837718,4.65205513450642e-38,5.69199556077709e-36,75.6621911713707,"ENSG00000138769"
-2.17859469273554,10.1283668486746,-13.9086574502038,7.83908895485052e-38,9.41274954504163e-36,75.1451290251925,"ENSG00000157765"
-1.57911935732661,3.11492429698088,-13.8878588130756,9.71229320211111e-38,1.15900032211859e-35,74.9328140380632,"ENSG00000124749"
-1.21827808141268,7.40883267150138,-13.8723792449749,1.13903637066325e-37,1.350911111513e-35,74.7748941955858,"ENSG00000074416"
-1.85239182629071,4.84073851525518,-13.8073816470483,2.22216239093047e-37,2.58788212900408e-35,74.1127125989217,"ENSG00000229415"
-1.51335415654021,2.4496016251762,-13.6290248589348,1.38003880776096e-36,1.52450915609342e-34,72.3033261555048,"ENSG00000164690"
-1.16342173098179,3.84653198834713,-13.4851187376844,5.9697827493595e-36,6.30643935030699e-34,70.8523438552155,"ENSG00000144642"
-1.26950548611047,4.56314023371395,-13.465749354027,7.27104147510647e-36,7.5980418268518e-34,70.6570064823264,"ENSG00000102934"
-1.01466500125121,6.59746275616503,-13.4362774220001,9.80204734405013e-36,1.01878053362998e-33,70.3611079169502,"ENSG00000184584"
-1.53873795135067,3.51826191023219,-13.3553392524691,2.22443225679451e-35,2.26330128359745e-33,69.5493147881173,"ENSG00000143502"
-2.02942718253583,6.12972693145968,-13.2975763444792,3.98559968863471e-35,4.03401116129247e-33,68.9716316410772,"ENSG00000048540"
-1.76111954771984,4.09706557795069,-13.2835905865604,4.58918265549298e-35,4.62073328624949e-33,68.8319511460493,"ENSG00000160111"
-2.29992759969598,4.24982728448061,-13.2371074272309,7.32904562277335e-35,7.2288321418089e-33,68.3682439303277,"ENSG00000196616"
-1.4833665523262,5.61507506061584,-13.231216982397,7.77653468897179e-35,7.59272568723245e-33,68.3095409680825,"ENSG00000158321"
-1.09216547994795,4.04201226784964,-13.1852556605599,1.23342729430542e-34,1.18042655710457e-32,67.8526450025564,"ENSG00000035664"
-1.17320262711439,3.84825355657879,-13.1713444914256,1.41910082447352e-34,1.35143138614395e-32,67.7137628278248,"ENSG00000067191"
-1.54827427964756,3.57611842265985,-13.1602517066889,1.58643003943894e-34,1.49448453700075e-32,67.6033650746771,"ENSG00000136546"
-1.43402558307738,2.51468176457715,-13.1248759270028,2.26182069137861e-34,2.09213002898235e-32,67.252068311686,"ENSG00000185008"
-1.22629419277289,4.07860690664308,-13.1160658375959,2.47051447262545e-34,2.2742850373712e-32,67.1646560614788,"ENSG00000091262"
-1.56928544064316,4.60825632235946,-13.0836173559115,3.41857581764619e-34,3.11735413711019e-32,66.842969044111,"ENSG00000152128"
-3.16827541340491,5.13143165139141,-13.0261401203627,6.07112170778287e-34,5.40861404861099e-32,66.2741667823864,"ENSG00000161055"
