"gene","logFC","adj.P.Val"
"ENSG00000161055",-3.16827541340491,5.40861404861099e-32
"ENSG00000153446",-2.94783522358833,9.96805707019389e-45
"ENSG00000131400",-2.87670623014055,1.08562018533183e-41
"ENSG00000162896",-2.85658323785972,6.42298043094728e-30
"ENSG00000127249",-2.7844745895501,1.13094100434098e-57
"ENSG00000168484",-2.75996624498847,9.32851126033321e-15
"ENSG00000122852",-2.74933827506526,8.25946878548532e-20
"ENSG00000164265",-2.73732038740776,2.24835869242491e-23
"ENSG00000142973",-2.69532774384794,9.30603747425456e-39
"ENSG00000185303",-2.65512988765812,3.62681623952128e-19
"ENSG00000204544",-2.5869465630083,3.16511051298235e-28
"ENSG00000099994",-2.56182579999968,3.21997303786542e-43
"ENSG00000196188",-2.37447404951219,5.42232970563648e-23
"ENSG00000080293",-2.35008505028852,1.25969527623698e-45
"ENSG00000171885",-2.34833379256821,4.82419459566961e-28
"ENSG00000182795",-2.31773970071645,2.01393886162849e-58
"ENSG00000149435",-2.30151097732878,1.02690144108597e-42
"ENSG00000196616",-2.29992759969598,7.2288321418089e-33
"ENSG00000166105",-2.26836073811109,1.31369736901032e-26
"ENSG00000168878",-2.24992846036688,2.94366001014316e-18
