"gene","logFC","adj.P.Val"
"ENSG00000110680",2.35916799165375,1.45449829870138e-17
"ENSG00000021826",2.25249545499841,3.63308917634245e-14
"ENSG00000171564",2.0804758094199,9.36224450222734e-11
"ENSG00000151632",2.06977806366591,8.40886568713909e-11
"ENSG00000139352",2.02911729057749,3.90595946977464e-19
"ENSG00000171560",1.98055029964728,3.39143961867831e-10
"ENSG00000154277",1.9570887036527,1.60949703255145e-21
"ENSG00000175426",1.91137872550297,8.24129220124581e-21
"ENSG00000168243",1.8471028129683,1.10917284963903e-29
"ENSG00000101057",1.83140169939752,1.01211514948545e-39
"ENSG00000088325",1.81156512376197,3.71865485602911e-54
"ENSG00000089685",1.72382736244811,1.42526807911044e-48
"ENSG00000206075",1.72062890598643,6.63854663006593e-18
"ENSG00000111206",1.71763224299533,2.71292203965662e-55
"ENSG00000221867",1.70491784651009,1.50515821894077e-18
"ENSG00000019186",1.69800913069945,8.68330173169217e-14
"ENSG00000145920",1.69349095984584,1.46672498077799e-16
"ENSG00000175063",1.69205319513267,9.30369130046509e-37
"ENSG00000168078",1.68246635413603,2.49322941917772e-62
"ENSG00000198074",1.68085108329245,6.25365896216623e-10
