"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000280","nuclear division","62/215","453/18860",0.136865342163355,12.0059551311669,25.4614245899331,1.67475224846952e-49,4.08639548626563e-46,3.45527832315817e-46,"RACGAP1/AURKA/PLK1/TPX2/NCAPG/ESPL1/CCNB1/CDCA2/NEK2/SPC25/BUB1B/KIF23/CCNB2/NCAPH/NUF2/SKA3/AURKB/BIRC5/KIF4A/CDC20/RAD51AP1/KIF11/BUB1/SKA1/KIF2C/SGO1/CDC25C/TTK/KIF14/DLGAP5/MAD2L1/RAD51/SPAG5/NDC80/KIFC1/CHEK1/CDCA8/KIF18B/CDK1/UBE2S/TOP2A/MYBL2/CENPE/TESMIN/CENPI/KNL1/MKI67/ASPM/ZWINT/KIF15/RAD54L/NCAPG2/UBE2C/CDT1/CENPF/TRIP13/ANLN/UHRF1/SPC24/PKMYT1/PTTG1/CCNE1",62
"GO:0140014","mitotic nuclear division","52/215","281/18860",0.185053380782918,16.2330547049574,27.6265313625257,2.82726055919431e-48,3.44925788221706e-45,2.91654247158992e-45,"RACGAP1/AURKA/PLK1/TPX2/NCAPG/ESPL1/CCNB1/CDCA2/NEK2/SPC25/BUB1B/KIF23/NCAPH/NUF2/SKA3/AURKB/BIRC5/KIF4A/CDC20/KIF11/BUB1/SKA1/KIF2C/CDC25C/TTK/KIF14/DLGAP5/MAD2L1/SPAG5/NDC80/KIFC1/CHEK1/CDCA8/KIF18B/CDK1/UBE2S/MYBL2/CENPE/CENPI/KNL1/MKI67/ZWINT/KIF15/NCAPG2/UBE2C/CDT1/CENPF/TRIP13/ANLN/UHRF1/SPC24/PKMYT1",52
"GO:0007059","chromosome segregation","60/215","434/18860",0.138248847926267,12.1273175436716,25.1835632851116,4.26948166472025e-48,3.47251175397247e-45,2.93620493433393e-45,"RACGAP1/AURKA/PLK1/TPX2/NCAPG/ESPL1/HJURP/CCNB1/CDCA2/NEK2/SPC25/BUB1B/KIF23/CCNB2/NCAPH/NUF2/SKA3/AURKB/BIRC5/KIF4A/CDC20/KIF11/BUB1/SKA1/KIF2C/SGO1/ESCO2/TTK/KIF14/DLGAP5/MAD2L1/SPAG5/NDC80/FAM83D/KIFC1/SGO2/CDCA8/KIF18B/CDK1/CENPW/TOP2A/MYBL2/CENPE/CENPI/ECT2/KNL1/MKI67/ASPM/ZWINT/CDC6/KIF15/NCAPG2/UBE2C/CDT1/CENPF/TRIP13/UHRF1/SPC24/PTTG1/CCNE1",60
"GO:0098813","nuclear chromosome segregation","54/215","323/18860",0.1671826625387,14.6654186766506,26.601237740007,1.09823925876024e-47,6.69925947843743e-45,5.66460249255279e-45,"RACGAP1/AURKA/PLK1/TPX2/NCAPG/ESPL1/CCNB1/NEK2/SPC25/BUB1B/KIF23/CCNB2/NCAPH/NUF2/SKA3/AURKB/BIRC5/KIF4A/CDC20/KIF11/BUB1/SKA1/KIF2C/SGO1/TTK/KIF14/DLGAP5/MAD2L1/SPAG5/NDC80/FAM83D/KIFC1/CDCA8/KIF18B/CDK1/TOP2A/MYBL2/CENPE/CENPI/ECT2/KNL1/ASPM/ZWINT/CDC6/KIF15/NCAPG2/UBE2C/CDT1/CENPF/TRIP13/UHRF1/SPC24/PTTG1/CCNE1",54
"GO:0000070","mitotic sister chromatid segregation","44/215","192/18860",0.229166666666667,20.1027131782946,28.568940827847,4.10111514442637e-45,2.00134419048007e-42,1.69224961748962e-42,"RACGAP1/PLK1/TPX2/NCAPG/ESPL1/CCNB1/NEK2/SPC25/BUB1B/KIF23/NCAPH/NUF2/SKA3/AURKB/BIRC5/KIF4A/CDC20/KIF11/BUB1/SKA1/KIF2C/TTK/KIF14/DLGAP5/MAD2L1/SPAG5/NDC80/KIFC1/CDCA8/KIF18B/CDK1/MYBL2/CENPE/CENPI/KNL1/ZWINT/KIF15/NCAPG2/UBE2C/CDT1/CENPF/TRIP13/UHRF1/SPC24",44
"GO:0000819","sister chromatid segregation","46/215","233/18860",0.197424892703863,17.3182952390458,26.9140252762561,5.67299803134148e-44,2.3070191994122e-41,1.95071511253146e-41,"RACGAP1/PLK1/TPX2/NCAPG/ESPL1/CCNB1/NEK2/SPC25/BUB1B/KIF23/NCAPH/NUF2/SKA3/AURKB/BIRC5/KIF4A/CDC20/KIF11/BUB1/SKA1/KIF2C/TTK/KIF14/DLGAP5/MAD2L1/SPAG5/NDC80/KIFC1/CDCA8/KIF18B/CDK1/TOP2A/MYBL2/CENPE/CENPI/KNL1/ZWINT/CDC6/KIF15/NCAPG2/UBE2C/CDT1/CENPF/TRIP13/UHRF1/SPC24",46
"GO:0007088","regulation of mitotic nuclear division","30/215","119/18860",0.252100840336134,22.1145202266953,24.8116521775766,3.38820899163594e-32,1.1810328485131e-29,9.98630018587436e-30,"AURKA/PLK1/ESPL1/CCNB1/CDCA2/NEK2/SPC25/BUB1B/NUF2/SKA3/AURKB/BIRC5/CDC20/BUB1/SKA1/CDC25C/TTK/DLGAP5/MAD2L1/NDC80/CHEK1/CDCA8/KNL1/MKI67/ZWINT/UBE2C/CENPF/TRIP13/SPC24/PKMYT1",30
"GO:1905818","regulation of chromosome separation","26/215","76/18860",0.342105263157895,30.0097919216646,27.2116412346192,6.003131248636e-32,1.83095503083398e-29,1.5481759535956e-29,"PLK1/NCAPG/ESPL1/CCNB1/SPC25/BUB1B/NCAPH/NUF2/SKA3/AURKB/BIRC5/CDC20/BUB1/SKA1/TTK/DLGAP5/MAD2L1/NDC80/CDCA8/KNL1/ZWINT/NCAPG2/UBE2C/CENPF/TRIP13/SPC24",26
"GO:0044772","mitotic cell cycle phase transition","47/215","461/18860",0.101952277657267,8.9433486354235,18.5419046577887,2.95308688912429e-31,8.00614667718141e-29,6.76964947682294e-29,"AURKA/PLK1/FOXM1/CCNA2/ESPL1/CCNB1/SPC25/BUB1B/CCNB2/NUF2/SKA3/CDKN3/AURKB/BIRC5/CDC20/BUB1/SKA1/CDC25C/TTK/KIF14/DLGAP5/CDC25A/MAD2L1/NDC80/MELK/ORC1/CHEK1/CDCA8/RRM2/CDK1/UBE2S/CENPE/KNL1/TICRR/ZWINT/CDC6/UBE2C/CENPF/TRIP13/ANLN/CLSPN/SPC24/PKMYT1/E2F7/EIF4EBP1/CCNE1/IQGAP3",47
"GO:0051304","chromosome separation","26/215","83/18860",0.313253012048193,27.4788456150182,25.9610561729086,8.80662063569109e-31,2.14881543510863e-28,1.81694488904785e-28,"PLK1/NCAPG/ESPL1/CCNB1/SPC25/BUB1B/NCAPH/NUF2/SKA3/AURKB/BIRC5/CDC20/BUB1/SKA1/TTK/DLGAP5/MAD2L1/NDC80/CDCA8/KNL1/ZWINT/NCAPG2/UBE2C/CENPF/TRIP13/SPC24",26
