"ENSEMBL","ENTREZID","SYMBOL"
"ENSG00000163075","200373","CFAP221"
"ENSG00000182795","79098","C1orf116"
"ENSG00000127249","84239","ATP13A4"
"ENSG00000151623","4306","NR3C2"
"ENSG00000069122","221395","ADGRF5"
"ENSG00000115525","8869","ST3GAL5"
"ENSG00000184012","7113","TMPRSS2"
"ENSG00000184012","124905021","LOC124905021"
"ENSG00000080293","6344","SCTR"
"ENSG00000153446","146556","C16orf89"
"ENSG00000108924","3131","HLF"
"ENSG00000099994","56241","SUSD2"
"ENSG00000149435","92086","GGTLC1"
"ENSG00000163406","6565","SLC15A2"
"ENSG00000131400","9476","NAPSA"
"ENSG00000152642","23171","GPD1L"
"ENSG00000142973","1580","CYP4B1"
"ENSG00000171476","84525","HOPX"
"ENSG00000225383","207107","SFTA1P"
"ENSG00000103811","1512","CTSH"
"ENSG00000114812","7433","VIPR1"
"ENSG00000173376","79625","NDNF"
"ENSG00000008441","4784","NFIX"
"ENSG00000135063","9413","ENTREP1"
"ENSG00000174514","148808","SLC60A1"
"ENSG00000158220","83850","ESYT3"
"ENSG00000047936","6098","ROS1"
"ENSG00000176533","2788","GNG7"
"ENSG00000163145","114905","C1QTNF7"
"ENSG00000138769","8999","CDKL2"
"ENSG00000157765","10568","SLC34A2"
"ENSG00000124749","81578","COL21A1"
"ENSG00000074416","11343","MGLL"
"ENSG00000229415","253970","SFTA3"
"ENSG00000164690","6469","SHH"
"ENSG00000144642","27303","RBMS3"
"ENSG00000102934","51090","PLLP"
"ENSG00000184584","340061","STING1"
"ENSG00000143502","55061","SUSD4"
"ENSG00000048540","55885","LMO3"
"ENSG00000160111","27151","CPAMD8"
"ENSG00000196616","125","ADH1B"
"ENSG00000158321","26053","AUTS2"
"ENSG00000035664","23604","DAPK2"
"ENSG00000067191","782","CACNB1"
"ENSG00000136546","6332","SCN7A"
"ENSG00000185008","6092","ROBO2"
"ENSG00000091262","368","ABCC6"
"ENSG00000152128","81615","TMEM163"
"ENSG00000161055","92304","SCGB3A1"
"ENSG00000165084","116328","C8orf34"
"ENSG00000158488","913","CD1E"
"ENSG00000162591","1953","MEGF6"
"ENSG00000224189","401022","HAGLR"
"ENSG00000134917","11095","ADAMTS8"
"ENSG00000129538","6035","RNASE1"
"ENSG00000114446","55081","IFT57"
"ENSG00000164741","10395","DLC1"
"ENSG00000143416","8991","SELENBP1"
"ENSG00000248801","286189","C8orf34-AS1"
"ENSG00000105376","7087","ICAM5"
"ENSG00000158352","57477","SHROOM4"
"ENSG00000189045","728780","ANKDD1B"
"ENSG00000166448","222865","TMEM130"
"ENSG00000086289","54749","EPDR1"
"ENSG00000114737","1154","CISH"
"ENSG00000225342","107985190","LINC01779"
"ENSG00000144668","3680","ITGA9"
"ENSG00000119655","10577","NPC2"
"ENSG00000076716","2239","GPC4"
"ENSG00000168329","1524","CX3CR1"
"ENSG00000162896","5284","PIGR"
"ENSG00000079308","7145","TNS1"
"ENSG00000173467","155465","AGR3"
"ENSG00000275410","6928","HNF1B"
"ENSG00000158481","911","CD1C"
"ENSG00000166428","122618","PLD4"
"ENSG00000111879","79632","FAM184A"
"ENSG00000126016","154796","AMOT"
"ENSG00000116031","50489","CD207"
"ENSG00000231013","107105282","SCTR-AS1"
"ENSG00000275395","8857","FCGBP"
"ENSG00000137462","7097","TLR2"
"ENSG00000163629","5783","PTPN13"
"ENSG00000110195","2348","FOLR1"
"ENSG00000241644","11185","INMT"
"ENSG00000111341","4256","MGP"
"ENSG00000204219","6920","TCEA3"
"ENSG00000171368","11076","TPPP"
"ENSG00000112782","53405","CLIC5"
"ENSG00000169031","1285","COL4A3"
"ENSG00000149573","10205","MPZL2"
"ENSG00000196260","389376","SFTA2"
"ENSG00000177098","6330","SCN4B"
"ENSG00000204544","394263","MUC21"
"ENSG00000049540","2006","ELN"
"ENSG00000077943","8516","ITGA8"
"ENSG00000109339","5602","MAPK10"
"ENSG00000171885","361","AQP4"
"ENSG00000179639","2205","FCER1A"
"ENSG00000240038","280","AMY2B"
"ENSG00000146477","6581","SLC22A3"
"ENSG00000011201","3730","ANOS1"
"ENSG00000232629","3120","HLA-DQB2"
"ENSG00000103044","3038","HAS3"
"ENSG00000204257","3108","HLA-DMA"
"ENSG00000243710","149465","CFAP57"
"ENSG00000203697","388743","CAPN8"
"ENSG00000197415","79674","VEPH1"
"ENSG00000131018","23345","SYNE1"
"ENSG00000164626","8645","KCNK5"
"ENSG00000188906","120892","LRRK2"
"ENSG00000173947","128344","CIMAP3"
"ENSG00000066468","2263","FGFR2"
"ENSG00000166105","112937","GLB1L3"
"ENSG00000167183","79170","PRR15L"
"ENSG00000112936","730","C7"
"ENSG00000179178","128218","TMEM125"
"ENSG00000170571","133418","EMB"
"ENSG00000179593","247","ALOX15B"
"ENSG00000141338","10351","ABCA8"
"ENSG00000163071","132671","SPATA18"
"ENSG00000166482","4239","MFAP4"
"ENSG00000125170","55715","DOK4"
"ENSG00000206077","653082","ZDHHC11B"
"ENSG00000049246","8863","PER3"
"ENSG00000259803","146429","SLC22A31"
"ENSG00000183346","219621","CABCOCO1"
"ENSG00000179023","127707","KLHDC7A"
"ENSG00000081052","1286","COL4A4"
"ENSG00000168032","956","ENTPD3"
"ENSG00000134020","157310","PEBP4"
"ENSG00000165072","256691","MAMDC2"
"ENSG00000153930","162282","ANKFN1"
"ENSG00000172296","55304","SPTLC3"
"ENSG00000092529","825","CAPN3"
"ENSG00000133661","6441","SFTPD"
"ENSG00000058335","5923","RASGRF1"
"ENSG00000271447","79148","MMP28"
"ENSG00000141579","79755","ZNF750"
"ENSG00000276600","338382","RAB7B"
"ENSG00000071967","79901","CYBRD1"
"ENSG00000158477","909","CD1A"
"ENSG00000154930","84532","ACSS1"
"ENSG00000149534","2206","MS4A2"
"ENSG00000169291","126669","SHE"
"ENSG00000228594","643988","FNDC10"
"ENSG00000019102","23584","VSIG2"
"ENSG00000116106","2043","EPHA4"
"ENSG00000131781","2330","FMO5"
"ENSG00000068078","2261","FGFR3"
"ENSG00000164265","117156","SCGB3A2"
"ENSG00000121075","9496","TBX4"
"ENSG00000144063","7851","MALL"
"ENSG00000144063","128966597","LOC128966597"
"ENSG00000166432","84460","ZMAT1"
"ENSG00000133710","11005","SPINK5"
"ENSG00000240583","358","AQP1"
"ENSG00000270765","246176","GAS2L2"
"ENSG00000149212","143686","SESN3"
"ENSG00000196188","1510","CTSE"
"ENSG00000136352","7080","NKX2-1"
"ENSG00000137727","57569","ARHGAP20"
"ENSG00000188817","132203","SNTN"
"ENSG00000006210","6376","CX3CL1"
"ENSG00000151892","2674","GFRA1"
"ENSG00000025423","8630","HSD17B6"
"ENSG00000215217","134121","CFAP90"
"ENSG00000080854","22997","IGSF9B"
"ENSG00000240694","10687","PNMA2"
"ENSG00000224389","721","C4B"
"ENSG00000223865","3115","HLA-DPB1"
"ENSG00000114854","7134","TNNC1"
"ENSG00000064195","1747","DLX3"
"ENSG00000123243","80760","ITIH5"
"ENSG00000168477","7148","TNXB"
"ENSG00000164120","3248","HPGD"
"ENSG00000100033","5625","PRODH"
"ENSG00000060656","10076","PTPRU"
"ENSG00000138449","30061","SLC40A1"
"ENSG00000196126","3123","HLA-DRB1"
"ENSG00000175164","28","ABO"
"ENSG00000149328","89944","GLB1L2"
"ENSG00000185499","4582","MUC1"
"ENSG00000153292","266977","ADGRF1"
"ENSG00000133392","4629","MYH11"
"ENSG00000008226","9940","DLEC1"
"ENSG00000086548","4680","CEACAM6"
"ENSG00000103316","1428","CRYM"
"ENSG00000170561","153572","IRX2"
"ENSG00000169302","202374","STK32A"
"ENSG00000114248","79782","LRRC31"
"ENSG00000167972","21","ABCA3"
"ENSG00000165272","360","AQP3"
"ENSG00000196159","79633","FAT4"
"ENSG00000144285","6323","SCN1A"
"ENSG00000101938","91851","CHRDL1"
"ENSG00000213088","2532","ACKR1"
"ENSG00000244731","720","C4A"
"ENSG00000244731","110384692","C4A_2"
"ENSG00000248890","646576","HHIP-AS1"
"ENSG00000221986","343263","MYBPHL"
"ENSG00000090339","3383","ICAM1"
"ENSG00000131771","84152","PPP1R1B"
"ENSG00000138135","9023","CH25H"
"ENSG00000188761","440603","BCL2L15"
"ENSG00000179344","3119","HLA-DQB1"
"ENSG00000120262","80129","CCDC170"
"ENSG00000158966","57685","CACHD1"
"ENSG00000122852","653509","SFTPA1"
"ENSG00000185924","146760","RTN4RL1"
"ENSG00000152785","651","BMP3"
"ENSG00000172236","7177","TPSAB1"
"ENSG00000146122","23500","DAAM2"
"ENSG00000168631","135656","MUCL3"
"ENSG00000144331","151126","ZNF385B"
"ENSG00000163239","126668","TDRD10"
"ENSG00000019582","972","CD74"
"ENSG00000177191","374907","B3GNT8"
"ENSG00000174502","115019","SLC26A9"
"ENSG00000165197","2277","VEGFD"
"ENSG00000166961","219995","MS4A15"
"ENSG00000168447","6338","SCNN1B"
"ENSG00000154310","23043","TNIK"
"ENSG00000227195","284801","MIR663AHG"
"ENSG00000227195","124904967","LOC124904967"
"ENSG00000162551","249","ALPL"
"ENSG00000185303","729238","SFTPA2"
"ENSG00000164379","94234","FOXQ1"
"ENSG00000186377","260293","CYP4X1"
"ENSG00000118596","9194","SLC16A7"
"ENSG00000142611","63976","PRDM16"
"ENSG00000008853","23221","RHOBTB2"
"ENSG00000231389","3113","HLA-DPA1"
"ENSG00000163751","1359","CPA3"
"ENSG00000188039","284434","NWD1"
"ENSG00000114455","11148","HHLA2"
"ENSG00000168497","8436","CAVIN2"
"ENSG00000136881","570","BAAT"
"ENSG00000140254","90527","DUOXA1"
"ENSG00000184985","57537","SORCS2"
"ENSG00000183742","346389","MACC1"
"ENSG00000168878","6439","SFTPB"
"ENSG00000184828","201501","ZBTB7C"
"ENSG00000197253","64499","TPSB2"
"ENSG00000080493","8671","SLC4A4"
"ENSG00000125571","27178","IL37"
"ENSG00000134216","27159","CHIA"
"ENSG00000204287","3122","HLA-DRA"
"ENSG00000248485","654790","PCP4L1"
"ENSG00000130558","10439","OLFM1"
"ENSG00000106809","4969","OGN"
"ENSG00000154175","25890","ABI3BP"
"ENSG00000198502","3127","HLA-DRB5"
"ENSG00000165816","340706","VWA2"
"ENSG00000109956","27087","B3GAT1"
"ENSG00000214491","730005","SEC14L6"
"ENSG00000170890","5319","PLA2G1B"
"ENSG00000169116","25849","PARM1"
"ENSG00000007402","9254","CACNA2D2"
"ENSG00000082497","56256","SERTAD4"
"ENSG00000108846","8714","ABCC3"
"ENSG00000094963","2327","FMO2"
"ENSG00000186715","11223","MST1L"
"ENSG00000178343","152573","SHISA3"
"ENSG00000125798","3170","FOXA2"
"ENSG00000168907","255189","PLA2G4F"
"ENSG00000169583","9022","CLIC3"
"ENSG00000137857","53905","DUOX1"
"ENSG00000160188","89765","RSPH1"
"ENSG00000167741","124975","GGT6"
"ENSG00000189377","284340","CXCL17"
"ENSG00000004838","51364","ZMYND10"
"ENSG00000133067","59352","LGR6"
"ENSG00000164161","64399","HHIP"
"ENSG00000166592","6236","RRAD"
"ENSG00000236039","101927630","LINC02889"
"ENSG00000204305","177","AGER"
"ENSG00000116690","10216","PRG4"
"ENSG00000123838","722","C4BPA"
