"ENSEMBL","ENTREZID","SYMBOL"
"ENSG00000161800","29127","RACGAP1"
"ENSG00000168078","55872","PBK"
"ENSG00000111665","83461","CDCA3"
"ENSG00000087586","6790","AURKA"
"ENSG00000115163","1058","CENPA"
"ENSG00000166851","5347","PLK1"
"ENSG00000111206","2305","FOXM1"
"ENSG00000088325","22974","TPX2"
"ENSG00000145386","890","CCNA2"
"ENSG00000109805","64151","NCAPG"
"ENSG00000198826","9824","ARHGAP11A"
"ENSG00000135451","10024","TROAP"
"ENSG00000135476","9700","ESPL1"
"ENSG00000123485","55355","HJURP"
"ENSG00000134057","891","CCNB1"
"ENSG00000129195","54478","PIMREG"
"ENSG00000184661","157313","CDCA2"
"ENSG00000117650","4751","NEK2"
"ENSG00000065911","10797","MTHFD2"
"ENSG00000152253","57405","SPC25"
"ENSG00000156970","701","BUB1B"
"ENSG00000138180","55165","CEP55"
"ENSG00000137807","9493","KIF23"
"ENSG00000157456","9133","CCNB2"
"ENSG00000121152","23397","NCAPH"
"ENSG00000143228","83540","NUF2"
"ENSG00000165480","221150","SKA3"
"ENSG00000100526","1033","CDKN3"
"ENSG00000024526","55635","DEPDC1"
"ENSG00000178999","9212","AURKB"
"ENSG00000068489","55771","PRR11"
"ENSG00000089685","332","BIRC5"
"ENSG00000090889","24137","KIF4A"
"ENSG00000117399","991","CDC20"
"ENSG00000111247","10635","RAD51AP1"
"ENSG00000138160","3832","KIF11"
"ENSG00000146670","113130","CDCA5"
"ENSG00000185480","55010","PARPBP"
"ENSG00000169607","150468","CKAP2L"
"ENSG00000169679","699","BUB1"
"ENSG00000154839","220134","SKA1"
"ENSG00000146410","113115","MTFR2"
"ENSG00000174371","9156","EXO1"
"ENSG00000142945","11004","KIF2C"
"ENSG00000129810","151648","SGO1"
"ENSG00000136982","79075","DSCC1"
"ENSG00000158402","995","CDC25C"
"ENSG00000171320","157570","ESCO2"
"ENSG00000065328","55388","MCM10"
"ENSG00000112742","7272","TTK"
"ENSG00000118193","9928","KIF14"
"ENSG00000126787","9787","DLGAP5"
"ENSG00000164045","993","CDC25A"
"ENSG00000164109","4085","MAD2L1"
"ENSG00000051180","5888","RAD51"
"ENSG00000163507","57650","CIP2A"
"ENSG00000076382","10615","SPAG5"
"ENSG00000080986","10403","NDC80"
"ENSG00000165304","9833","MELK"
"ENSG00000091651","23594","ORC6"
"ENSG00000070087","5217","PFN2"
"ENSG00000182481","3838","KPNA2"
"ENSG00000085840","4998","ORC1"
"ENSG00000101447","81610","FAM83D"
"ENSG00000237649","3833","KIFC1"
"ENSG00000165490","220042","DDIAS"
